"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Создание записи","0","Запись корректно создается","1","0","Создание записи с главного экрана","0"
"0","Удаление записи","0","Запись корректно удаляется","1","0","Удаление записи после создания","0"
"0","Хранение данных","0","Запись корректно сохраняется","1","0","Запись сохраняется после завершения работы приложения","0"
"0","Редактирование записи","0","Запись корректно редактируется","1","0","Редактирование записи после создания","0"
