"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем что запись корректно создается:
1. Открываем приложение
2. Пропускаем онбординг
3. Создаем запись
4. Проверяем, что запись создана
5. Проверяем, что запись создана с корректным именем
","28364","createTransaction()","","2026-07-15","passed","2026-07-15","","tests.FinanceTests","tests.FinanceTests","createTransaction"
"Проверяем что запись корректно удаляется:
1. Открываем приложение
2. Пропускаем онбординг
3. Создаем запись
4. Проверяем, что запись создана
5. Проверяем, что запись создана с корректным именем
6. Выполняем свайп влево на удаляемом элементе
7. Кликаем на кнопку Удалить
8. Подтверждаем удаление
","38816","deleteTransaction()","","2026-07-15","passed","2026-07-15","","tests.FinanceTests","tests.FinanceTests","deleteTransaction"
"Проверяем что запись корректно сохраняется после завершения работы приложения:
1. Открываем приложение
2. Пропускаем онбординг
3. Создаем запись
4. Проверяем, что запись создана
5. Проверяем, что запись создана с корректным именем
6. Перезапускаем приложение (terminateApp, activateApp)
7. Проверяем, что запись существует.
","56986","dataPersistence()","","2026-07-15","passed","2026-07-15","","tests.FinanceTests","tests.FinanceTests","dataPersistence"
"Проверяем что запись корректно изменяется:
1. Открываем приложение
2. Пропускаем онбординг
3. Создаем запись
4. Проверяем, что запись создана
5. Проверяем, что запись создана с корректным именем
6. Открываем созданную запись
7. Редактируем (в данном случае поле с названием)
8. Проверяем, что изменения применены корректно
","24197","updateTransaction()","","2026-07-15","passed","2026-07-15","","tests.FinanceTests","tests.FinanceTests","updateTransaction"
